neutral,text
neutral,Hello here
positive,Robert you're smart.
neutral,Jeremy Harbolt  https://www.facebook.com/dave.reiser.9/videos/10213329614251019/
negative,"Sue Howie no it was about 4 foot tall and my dog gave up. Not all dogs would give up but he did and if the wall stops one criminal, one death then BUILD IT. Its not about Hate."
neutral,Angel Roy Was it 6 ft tall..
neutral,Jeremy Harbolt how dogist!
neutral,Jeanie Railsback then they will be slaughtered!
positive,Dummycrats only think the rich deserve walls
neutral,Jeanie Railsback ever thought your building skills are less than par.
negative,How many children have been killed by Americans?
negative,"So sorry for your loss. These idiots who turn their heads and pretend not to hear or see what is going on because see they haven't had a loved one killed by an illegal are fooling themselves if they think they are going to remain safe if this situation isnt dealt with. I stand with our president, and I stand with all who have lost a loved one because the Democrats refuse to help support the wall."
negative,Wendi DelValle  so sorry for your loss! The people’s president has your back he WILL build the wall!!
negative,"I'm sorry for your loss. But then, how about white males shooting up schools and theaters? This is utter hypocrisy!"
negative,"Skip Rowland guessing you don't have to live around meth toting Mexicans. instead all you retards are making it about race. try visiting one of the cities or counties that have been infested by methicans(aka drug mules) like my area. all you can see is addicts, murder, fighting and stealing. they are living in houses that aren't supposed to be lived in by anyone."
negative,Carl Ostendarp guns again are not the problem people kill people not guns snowflake
negative,Carl Ostendarpnot asylum illegal immigrants lying to get asylum status deportation is the only solution
neutral,Lloyd Blackband London England
neutral,James McFarlane You can certainly have him. Any respect I might have had for him vanished the day he referred to Hispanics as murders and rapists. As if we in the US have only law abiding citizens.
positive,"Srinivas Ch if Trump will win all he doing ,and com back in 2020 what will you say then ? Will you need to study this history closer and what ever he say he will do he have done many and will do much more Trust God 🙏!"
neutral,Danny Jones AMEN
positive,"Everybody cares about his or her own self, but as a president his primary aim suppose to be putting the  needs of the masses first before considering his own need because without the masses who voted for him he will not be in that seat."
neutral,Danny Jones I'll happily second that!!!! 😀😀
neutral,By the way #WhatCulture?
positive,Robert Cee yeah I do. He actually does what he says!  Oh and where's your impeachment for Russian collusion?  LoL epic fucktardedness
neutral,#NationalEmergency = #ThreedaysGolf @ #Mar- #a - #largo .
negative,"How about gifting that £5bn to the NHS, you Brexiter muppet coward?"
negative,Iain McGuire if your referring to Churchill that’s obvious I was referring to a man like him smart ass
neutral,So Veronica where exactly did this happen ?
positive,Danny Jones-thank you for your faith and support for President Trump and our country. Hope things will get better for your country.
neutral,Carl Ostendarp GO LIVE THERE- - THEN YOU WILL KNOW WHAT YOU ARE TALKING ABOUT
negative,Danny Jones  The £39 billion is the divorce bill that we HAVE to pay to the EU.muppet!
neutral,Carl Ostendarp where are you 300 or more a day
negative,Hahahahaha!! What did the EU stop you from doing then? #PoorOldBiffer #WheresTommeh :p
positive,"Yeah, Angel Precious .  $22tn deficit the highest ever. He really cares about himself!"
negative,"BC:  You live off liberal’s taxes and we produce most of the nation’s GDP. You upstate losers live off the taxes we pay. You literally sit there living off government aid you welfare queen. You are a human remora (I will wait for you to look it up, because I know you’re an uneducated moron who needs to look up a lot of things)."
negative,Veronica:  You are a liar. You have never been to London and that didn’t happen.
neutral,"And you support Trump BC, so gullible  https://www.nytimes.com/2019/02/07/nyregion/trump-new-york.html"
negative,"Kevin smith, ha so you believe in an armed revolution very gung ho of you to recommend that to the UK. Be we are not Gun mad unlike you lot who don't deal with the problem thats killing your kids"
neutral,Ok ppl are getting paranoid here
neutral,Silvia Serra Lobo But you don’t need any facts apparently!  Cough up your supposed facts to disprove what he said libtard!
positive,"BC:  Nope, try again low output person  https://www.brookings.edu/blog/the-avenue/2016/11/29/another-clinton-trump-divide-high-output-america-vs-low-output-america/  I live in NYC, we don’t need Amazon, but funny how they wanted to come to our liberal bubble"
neutral,"Just saw what Apple said , DOH"
negative,Ayse Boykin  .... YOU pay taxes?
neutral,https://www.facebook.com/253645602134/photos/a.10151302476197135/10156145259487135/?type=3&eid=ARDtN5ntbj1kAE-0fEFaId-sECcZvdmcTXMJe7N6uZh9NeOhgy4lvi1FhOk_revDACjiFBZnahXyGcDb&__xts__%5B0%5D=68.ARACdhoLwIRC94C5EXMLW1hhKMbsctXrBaFJSGcniDzw6XqEcZcFwImBv3pThp7EeWqZyou0lrSCUBnYhBt1NMI2RXbr3p8PQP9KReY9Mg6bng-IuQgScyKb3vIaLq1RVYpI8kog8UitEGaKelDQXOzCghqct3sC2bBoaD4X7flo0GkTvWhvl50qMztH6hQ1a7MlWN-QXekLgEfyngE4NJiKQ3TyXk_SnZ3nJ301iFMZeW4DhkNVys10A03sFWUzyDThfCmBL-5kybadT4Pzy1NCAl6dwRtqgNKrnM1dgz4nolC_pqf6hJa_B06_2BLuZ6rF9GilgLcVXktiuOflTbBnTU9ow57OUbjfCy7cLGQ1&__tn__=EHH-R
positive,Danny Jones $157 billion a year to support illegals vs $5 billion to keep them out is ok with me
neutral,Skip Rowland El Chapo got caught. Your businesses are over libs. #Build_The_Wall
negative,"Are you stupid?  You're definitely confused; You confused  Obama and transgender wife Michael with President Trump and First Lady Melanie. You really should stop smoking that pipe, come back to reality, start drinking coffee. Wake up. Find God and support the truth not like Obama the father of all lies. Keep in mind(,if you have one, or can find it) that Trump is not a politician, and is the main reason Trump is President. Politicians lie honey Trump has proven himself to be a man of his word. BTW take those CNN blinders off and be apart of the solution not another liberal liar supporter of Globalization. It will be here soon enough with out your support."
negative,"Renee ladd magee you've been watching too much Fox news, there is nowhere in Europe that has sharia law. I live in a uk city which has a large ethnic community, and you it has problems but its problems driven by unemployment and low paid jobs not what race or which god someone follows. Do not the US have the same issues in its inner cities ?"
neutral,"James Domitrovich , he’s deid"
negative,Patti Cullen stfu go chase cars ugly
neutral,Robert Cee wow you must be living in the twilight zone.  Here in the USA the urban dwellers are the takers.  They will not speak for the rest of the country nor should they.  People in big cities are ignorant of life outside of their little bubbles and can't think or do things for themselves.  Amazon just got run out of New York because of socialist A-holes who live in a fantasy world of progressive idiocy.
positive,Danny Jones yeah that’s the Democrat love for you We deal with every day killing everything here in the United States
negative,Carl Ostendarp Kids wouldn’t be here if criminal parents or others sneaking them in STAYED HOME!
neutral,BC Lynch what's taking so long? It's been a couple years I think.
negative,"Neil Wiseman  And who's showing their ignorance, lying about our President."
negative,Carl Ostendarp and the leaders of their country’s are living it up while the people walk 1000 miles to break in here.  Why don’t you go bitch about what their leaders are doing and fix their country so they won’t need to come here
positive,Move to the US brother. We need more people like you here.
negative,"Danny Jones you are so ignorant, we get more money back from the EU in trade and services than we ever put in, let alone in educational, scientific, defense, farming, policing and more cross border programs. The EU protects and enriches national identity and culture. And frankly if one day we can destroy dumb macho lad culture, the UK will be better off."
neutral,🆗👍
negative,Danny Jones what is your culture not trying to be rude
neutral,Danny Jones hear hear!
negative,Uk British family not the people had no right signing the Belfour Declaration are they secretly Jewiish???
positive,Danny Jones Thank you for the kind thought.  This American really understands your anguish. It seems our culture is also being destroyed. Our President is trying with all his might to stop that from taking place.  I sincerely hope brexit goes though for the UK and that “WE” get  our border wall.
negative,"Danny Jones Definitely, a troll!"
neutral,Pls don't involve yourself in topics you don't understand.
neutral,Danny Jones absolutely 👍🏻
positive,Danny Jones  Thank you for your sentiment.  Wish we could get the sheep over here to wake up and see reason before we end up in a civil war.
positive,Good that you don't have 5 billions 😂😂
neutral,Michael Najm They will if they make the deal!
negative,Dallas Woody that was one of the worse decision EU made!
neutral,Danny Jones I suggest filing to immigrate now  We still have guns
positive,Danny Jones thank a Democrat for that
positive,Danny Jones thank you!
negative,Dallas Woody Coerced? It's a representative of the United Kingdom proposing the idea! Where do I sign?
positive,Silvia Serra Lobo He has the facts illegals get benefits right away but Americans are on a waiting list . You get the facts 🇺🇸
neutral,Alberto Weisz so why are there still doors at your place then? You still carry a set a keys to get in too???
neutral,Done now your turn!!😁
neutral,Alberto Weisz And use other means?
positive,Hal Eric Mitlitsky With any luck that won't be for AT LEAST another 5 years. Hopefully more.
negative,Would it only be illegal immigrants that would ransack his house? because no Americans would ever commit a crime 🙄 moron
neutral,Do you think Ameticans don't do home invasions?
neutral,"Larry Lubiner next get rid of the ones that over stay visa , hap  to start somewhere"
negative,Alberto Weisz hell no because then all the white crackheads will take my stuff!!
negative,"Larry Lubiner so, you didn't pay attention about the thousands of migrants coming up from south America? What you are claiming is ridiculous!"
neutral,Alberto Weisz 👍👍
negative,Dems are as dumb as a box of rocks.They wouldn't know an emergency if it hit them in the face. Nothing but a bunch of Satanist .
neutral,Shirley Wilson prove it!
neutral,Nancy Hissa provide proof
neutral,Patti Piccione Zambuto they can be verified
negative,"Nancy Hissa Is nevyconfuse a real President Obama, with a fake one!"
negative,Diana Klausner is not just ignorant but stupid too
